,title,abstract,doi,label,label-snorkel-1,label-snorkel-2,label-snorkel-3,probability-snorkel-1,probability-snorkel-2,probability-snorkel-3,model-index-snorkel-1,model-index-snorkel-2,model-index-snorkel-3
0,The mechanics of the adhesive locomotion of terrestrial gastropods,"SUMMARY Research on the adhesive locomotion of terrestrial gastropods is gaining renewed interest as it provides a source of guidance for the design of soft biomimetic robots that can perform functions currently not achievable by conventional rigid vehicles. The locomotion of terrestrial gastropods is driven by a train of periodic muscle contractions (pedal waves) and relaxations (interwaves) that propagate from their tails to their heads. These ventral waves interact with a thin layer of mucus secreted by the animal that transmits propulsive forces to the ground. The exact mechanism by which these propulsive forces are generated is still a matter of controversy. Specifically, the exact role played by the complex rheological and adhesive properties of the mucus is not clear. To provide quantitative data that could shed light on this question, we use a newly developed technique to measure, with high temporal and spatial resolution, the propulsive forces that terrestrial gastropods generate while crawling on smooth flat surfaces. The traction force measurements demonstrate the importance of the finite yield stress of the mucus in generating thrust and are consistent with the surface of the ventral foot being lifted with the passage of each pedal wave. We also show that a forward propulsive force is generated beneath each stationary interwave and that this net forward component is balanced by the resistance caused by the outer rim of the ventral foot, which slides at the speed of the center of mass of the animal. Simultaneously, the animal pulls the rim laterally inward. Analysis of the traction forces reveals that the kinematics of the pedal waves is far more complex than previously thought, showing significant spatial variation (acceleration/deceleration) as the waves move from the tail to the head of the animal.",10.1242/jeb.046706,"['Attach', 'Move']",protect_from_radiation,actively_move_solids,actively_move_gases,0.6950101137498073,0.16066956614117323,0.1458308925373178,0,0,0
1,Catapulting Tentacles in a Sticky Carnivorous Plant,"Among trapping mechanisms in carnivorous plants, those termed ‘active’ have especially fascinated scientists since Charles Darwin’s early works because trap movements are involved. Fast snap-trapping and suction of prey are two of the most spectacular examples for how these plants actively catch animals, mainly arthropods, for a substantial nutrient supply. We show that Drosera glanduligera, a sundew from southern Australia, features a sophisticated catapult mechanism: Prey animals walking near the edge of the sundew trigger a touch-sensitive snap-tentacle, which swiftly catapults them onto adjacent sticky glue-tentacles; the insects are then slowly drawn within the concave trap leaf by sticky tentacles. This is the first detailed documentation and analysis of such catapult-flypaper traps in action and highlights a unique and surprisingly complex mechanical adaptation to carnivory.",10.1371/journal.pone.0045735,['Process resources'],attach_permanently,no_match,attach_temporarily,0.6263515181736474,0.13348399682526713,0.13348399682526713,0,0,0
2,Ultra-fast underwater suction traps,"Carnivorous aquatic Utricularia species catch small prey animals using millimetre-sized underwater suction traps, which have fascinated scientists since Darwin's early work on carnivorous plants. Suction takes place after mechanical triggering and is owing to a release of stored elastic energy in the trap body accompanied by a very fast opening and closing of a trapdoor, which otherwise closes the trap entrance watertight. The exceptional trapping speed—far above human visual perception—impeded profound investigations until now. Using high-speed video imaging and special microscopy techniques, we obtained fully time-resolved recordings of the door movement. We found that this unique trapping mechanism conducts suction in less than a millisecond and therefore ranks among the fastest plant movements known. Fluid acceleration reaches very high values, leaving little chance for prey animals to escape. We discovered that the door deformation is morphologically predetermined, and actually performs a buckling/unbuckling process, including a complete trapdoor curvature inversion. This process, which we predict using dynamical simulations and simple theoretical models, is highly reproducible: the traps are autonomously repetitive as they fire spontaneously after 5–20 h and reset actively to their ready-to-catch condition.",10.1098/rspb.2010.2292,"['Process resources', 'Chemically modify or Change energy state']",regulate_reproduction_growth,no_match,attach_temporarily,0.7317525561111623,0.13348399682526713,0.13348399682526713,0,0,0
3,Elastic Energy Stores in Running Vertebrates,"Large mammals save much of the energy they would otherwise need for running by means of elastic structures in their legs. Kinetic and potential energy, lost at one stage of a stride, is stored temporarily as elastic strain energy and returned later in an elastic recoil. At high speeds, men and kangaroos seem to save in this way more than half the metabolic energy they would otherwise need for locomotion.It is shown by means of a generalized model that muscles and tendons could both be important as elastic energy stores. Analysis of films and force records of kangaroos hopping shows that strain energy stored while the feet are on the ground must be stored mainly distal to the knee. The principal muscles there have short fibres, and most of the storage must be in tendons. Investigation of camels shows that tendons in the feet, distal to the ankle and wrist, are especially important. The scope for elastic storage while the feet are off the groundis also considered.Though the evidence presented in this paper comes mainly from a few species, the conclusions presumably apply to large mammals in general.",10.1093/icb/24.1.85,"['Move', 'Process resources']",protect_from_radiation,actively_move_solids,actively_move_gases,0.6950101137498073,0.16066956614117323,0.1458308925373178,0,0,0
4,The Great Silk Alternative: Multiple Co-Evolution of Web Loss and Sticky Hairs in Spiders,"Spiders are the most important terrestrial predators among arthropods. Their ecological success is reflected by a high biodiversity and the conquest of nearly every terrestrial habitat. Spiders are closely associated with silk, a material, often seen to be responsible for their great ecological success and gaining high attention in life sciences. However, it is often overlooked that more than half of all Recent spider species have abandoned web building or never developed such an adaptation. These species must have found other, more economic solutions for prey capture and retention, compensating the higher energy costs of increased locomotion activity. Here we show that hairy adhesive pads (scopulae) are closely associated with the convergent evolution of a vagrant life style, resulting in highly diversified lineages of at least, equal importance as the derived web building taxa. Previous studies often highlighted the idea that scopulae have the primary function of assisting locomotion, neglecting the fact that only the distal most pads (claw tufts) are suitable for those purposes. The former observations, that scopulae are used in prey capture, are largely overlooked. Our results suggest the scopulae evolved as a substitute for silk in controlling prey and that the claw tufts are, in most cases, a secondary development. Evolutionary trends towards specialized claw tufts and their composition from a low number of enlarged setae to a dense array of slender ones, as well as the secondary loss of those pads are discussed further. Hypotheses about the origin of the adhesive setae and their diversification throughout evolution are provided.",10.1371/journal.pone.0062682,['Attach'],compete_within_between_species,regulate_drag_turbulence,actively_move_gases,0.7008855079203081,0.18210622809523574,0.1458308925373178,0,0,0
5,The hydrodynamic function of shark skin and two biomimetic applications,"SUMMARY It has long been suspected that the denticles on shark skin reduce hydrodynamic drag during locomotion, and a number of man-made materials have been produced that purport to use shark-skin-like surface roughness to reduce drag during swimming. But no studies to date have tested these claims of drag reduction under dynamic and controlled conditions in which the swimming speed and hydrodynamics of shark skin and skin-like materials can be quantitatively compared with those of controls lacking surface ornamentation or with surfaces in different orientations. We use a flapping foil robotic device that allows accurate determination of the self-propelled swimming (SPS) speed of both rigid and flexible membrane-like foils made of shark skin and two biomimetic models of shark skin to measure locomotor performance. We studied the SPS speed of real shark skin, a silicone riblet material with evenly spaced ridges and a Speedo® ‘shark skin-like’ swimsuit fabric attached to rigid flat-plate foils and when made into flexible membrane-like foils. We found no consistent increase in swimming speed with Speedo® fabric, a 7.2% increase with riblet material, whereas shark skin membranes (but not rigid shark skin plates) showed a mean 12.3% increase in swimming speed compared with the same skin foils after removing the denticles. Deformation of the shark skin membrane is thus crucial to the drag-reducing effect of surface denticles. Digital particle image velocimetry (DPIV) of the flow field surrounding moving shark skin foils shows that skin denticles promote enhanced leading-edge suction, which might have contributed to the observed increase in swimming speed. Shark skin denticles might thus enhance thrust, as well as reduce drag.",10.1242/jeb.063040,['Move'],attach_permanently,protect_from_fire,protect_from_ice,0.5574475838432563,0.17717741964261077,0.17640131533646672,0,0,0
6,Aerodynamics of the hovering hummingbird,"Despite profound musculoskeletal differences, hummingbirds (Trochilidae) are widely thought to employ aerodynamic mechanisms similar to those used by insects. The kinematic symmetry of the hummingbird upstroke and downstroke has led to the assumption that these halves of the wingbeat cycle contribute equally to weight support during hovering, as exhibited by insects of similar size. This assumption has been applied, either explicitly or implicitly, in widely used aerodynamic models and in a variety of empirical tests. Here we provide measurements of the wake of hovering rufous hummingbirds (Selasphorus rufus) obtained with digital particle image velocimetry that show force asymmetry: hummingbirds produce 75% of their weight support during the downstroke and only 25% during the upstroke. Some of this asymmetry is probably due to inversion of their cambered wings during upstroke. The wake of hummingbird wings also reveals evidence of leading-edge vortices created during the downstroke, indicating that they may operate at Reynolds numbers sufficiently low to exploit a key mechanism typical of insect hovering. Hummingbird hovering approaches that of insects, yet remains distinct because of effects resulting from an inherently dissimilar—avian—body plan.",10.1038/nature03647,['Move'],actively_move_liquids,no_match,attach_temporarily,0.6631464867746173,0.20371198447335817,0.20371198447335817,0,0,0
7,Capillarity-based switchable adhesion,"Drawing inspiration from the adhesion abilities of a leaf beetle found in nature, we have engineered a switchable adhesion device. The device combines two concepts: The surface tension force from a large number of small liquid bridges can be significant (capillarity-based adhesion) and these contacts can be quickly made or broken with electronic control (switchable). The device grabs or releases a substrate in a fraction of a second via a low-voltage pulse that drives electroosmotic flow. Energy consumption is minimal because both the grabbed and released states are stable equilibria that persist with no energy added to the system. Notably, the device maintains the integrity of an array of hundreds to thousands of distinct interfaces during active reconfiguration from droplets to bridges and back, despite the natural tendency of the liquid toward coalescence. We demonstrate the scaling of adhesion strength with the inverse of liquid contact size. This suggests that strengths approaching those of permanent bonding adhesives are possible as feature size is scaled down. In addition, controllability is fast and efficient because the attachment time and required voltage also scale down favorably. The device features compact size, no solid moving parts, and is made of common materials.",10.1073/pnas.0914720107,['Attach'],actively_move_gases,actively_move_liquids,actively_move_liquids,0.3065294026721871,0.2662578403122664,0.26577665901522257,0,0,0
8,Ballistic tongue projection in chameleons maintains high performance at low temperature,"Environmental temperature impacts the physical activity and ecology of ectothermic animals through its effects on muscle contractile physiology. Sprinting, swimming, and jumping performance of ectotherms decreases by at least 33% over a 10 °C drop, accompanied by a similar decline in muscle power. We propose that ballistic movements that are powered by recoil of elastic tissues are less thermally dependent than movements that rely on direct muscular power. We found that an elastically powered movement, ballistic tongue projection in chameleons, maintains high performance over a 20 °C range. Peak velocity and power decline by only 10%–19% with a 10 °C drop, compared to >42% for nonelastic, muscle-powered tongue retraction. These results indicate that the elastic recoil mechanism circumvents the constraints that low temperature imposes on muscle rate properties and thereby reduces the thermal dependence of tongue projection. We propose that organisms that use elastic recoil mechanisms for ecologically important movements such as feeding and locomotion may benefit from an expanded thermal niche.",10.1073/pnas.0910778107,"['Maintain structural integrity', 'Move']",protect_from_radiation,actively_move_solids,actively_move_gases,0.6950101137498073,0.16066956614117323,0.1458308925373178,0,0,0
9,Shark-skin surfaces for fluid-drag reduction in turbulent flow: a review,"The skin of fast-swimming sharks exhibits riblet structures aligned in the direction of flow that are known to reduce skin friction drag in the turbulent-flow regime. Structures have been fabricated for study and application that replicate and improve upon the natural shape of the shark-skin riblets, providing a maximum drag reduction of nearly 10 per cent. Mechanisms of fluid drag in turbulent flow and riblet-drag reduction theories from experiment and simulation are discussed. A review of riblet-performance studies is given, and optimal riblet geometries are defined. A survey of studies experimenting with riblet-topped shark-scale replicas is also given. A method for selecting optimal riblet dimensions based on fluid-flow characteristics is detailed, and current manufacturing techniques are outlined. Due to the presence of small amounts of mucus on the skin of a shark, it is expected that the localized application of hydrophobic materials will alter the flow field around the riblets in some way beneficial to the goals of increased drag reduction.",10.1098/rsta.2010.0201,['Move'],actively_move_solids,attach_temporarily,actively_move_liquids,0.6039779897738632,0.26577665901522257,0.26577665901522257,0,0,0
