,title,abstract,doi,label,label-snorkel-1,label-snorkel-2,label-snorkel-3,probability-snorkel-1,probability-snorkel-2,probability-snorkel-3,model-index-snorkel-1,model-index-snorkel-2,model-index-snorkel-3
0,Impact behaviour of freeze-dried and fresh pomelo (Citrus maxima) peel: influence of the hydration state,"Pomelos (Citrus maxima) are known for their thick peel which—inter alia—serves as energy dissipator when fruits impact on the ground after being shed. It protects the fruit from splitting open and thus enables the contained seeds to stay germinable and to potentially be dispersed by animal vectors. The main part of the peel consists of a parenchymatous tissue that can be interpreted from a materials point of view as open pored foam whose struts are pressurized and filled with liquid. In order to investigate the influence of the water content on the energy dissipation capacity, drop weight tests were conducted with fresh and with freeze-dried peel samples. Based on the coefficient of restitution it was found that freeze-drying markedly reduces the relative energy dissipation capacity of the peel. Measuring the transmitted force during impact furthermore indicated a transition from a uniform collapse of the foam-like tissue to a progressive collapse due to water extraction. Representing the peel by a Maxwell model illustrates that freeze-drying not only drastically reduces the damping function of the dashpots but also stiffens the springs of the model.",10.1098/rsos.140322,['Maintain structural integrity'],send_sound_signals,no_match,maintain_biodiversity,0.25,0.25,0.25,0,0,0
1,Distribution of unique red feather pigments in parrots,"In many birds, red, orange and yellow feathers are coloured by carotenoid pigments, but parrots are an exception. For over a century, biochemists have known that parrots use an unusual set of pigments to produce their rainbow of plumage colours, but their biochemical identity has remained elusive until recently. Here, we use high-performance liquid chromatography to survey the pigments present in the red feathers of 44 species of parrots representing each of the three psittaciform families. We found that all species used the same suite of five polyenal lipochromes (or psittacofulvins) to colour their plumage red, indicating that this unique system of pigmentation is remarkably conserved evolutionarily in parrots. Species with redder feathers had higher concentrations of psittacofulvins in their plumage, but neither feather colouration nor historical relatedness predicted the ratios in which the different pigments appeared. These polyenes were absent from blood at the time when birds were replacing their colourful feathers, suggesting that parrots do not acquire red plumage pigments from the diet, but instead manufacture them endogenously at growing feathers.",10.1098/rsbl.2004.0269,"['Sense send or process information', 'Change size or color']",send_sound_signals,no_match,maintain_biodiversity,0.25,0.25,0.25,0,0,0
2,"Home Ranges, Movement, and Den Use in Long-Beaked Echidnas, Zaglossus Bartoni, from Papua New Guinea","Abstract Long-beaked echidnas (Zaglossus), which are endemic to New Guinea, are the largest and least-studied of the 3 extant genera of monotremes. Zaglossus is listed as endangered by the World Conservation Union and data regarding the natural history of long-beaked echidnas are critical to efforts to protect these animals. However, no detailed studies of the ecology of this genus have been published. From 2000 to 2005, I captured 22 Zaglossus bartoni in the Crater Mountain Wildlife Management Area in Simbu Province, Papua New Guinea. Mean body masses for these animals were 6.5 kg ± 1.4 SD (n = 15, range: 4.2–9.1 kg) for adults and 4.3 ± 7.4 kg (n = 6, range: 3.2–5.1 kg) for juveniles. Eleven of the adults captured were followed via radiotelemetry for 1–12 months. The home ranges for these individuals varied in size from 10 to 168 ha. Home-range size was not correlated with body mass, age, or sex. Long-beaked echidna dens were most commonly located in underground burrows, although individual echidnas favored different types of den sites. Mean burrow length was 2.7 m ± 1.8 SD (n = 5, range: 1.3–4.9 m) and mean den depth was 0.48 m ± 7.8 SD (n = 5, range: 0.42–0.57 m) below the soil surface. Animals were never found foraging in daylight. Although no animals were found with eggs or young in the pouch, 1 individual was lactating when captured in April 2002 and again in April 2005. The data generated by this study provide valuable insights into echidna biology that will facilitate efforts to conserve populations of these unusual mammals.",10.1644/08-MAMM-A-108.1,"['Process resources', 'Protect from harm']",send_sound_signals,no_match,maintain_biodiversity,0.25,0.25,0.25,0,0,0
3,Energy saving in flight formation,"Many species of large bird fly together in formation, perhaps because flight power demands and energy expenditure can be reduced when the birds fly at an optimal spacing, or because orientation is improved by communication within groups. We have measured heart rates as an estimate of energy expenditure in imprinted great white pelicans (Pelecanus onocrotalus) trained to fly in 'V' formation, and show that these birds save a significant amount of energy by flying in formation. This advantage is probably a principal reason for the evolution of flight formation in large birds that migrate in groups.",10.1038/35099670,"['Move', 'Maintain ecological community']",send_sound_signals,no_match,maintain_biodiversity,0.25,0.25,0.25,0,0,0
4,"Correlation between aquaporin and water permeability in response to vasotocin, hydrin and β-adrenergic effectors in the ventral pelvic skin of the tree frog Hyla japonica","SUMMARY The ventral pelvic skin of the tree frog Hyla japonica expresses two kinds of arginine vasotocin (AVT)-stimulated aquaporins (AQP-h2 and AQP-h3), which affect the capacity of the frog's skin to absorb water. As such, it can be used as a model system for analyzing the molecular mechanisms of water permeability. We investigated AQP dynamics and water permeability in the pelvic skin of H. japonica following challenge with AVT, hydrins (intermediate peptides of pro-AVT) and β-adrenergic effectors. In the in vivo experiment, both AQP-h2 and AQP-h3 proteins were translocated to the apical plasma membrane in the principal cells of the first-reacting cell (FRC) layer in the pelvic skin following challenge with AVT, hydrin 1 and hydrin 2, thereby increasing the water permeability of the pelvic skin. The β-adrenergic receptor agonist isoproterenol (IP) and its anatagonist propranolol (PP) in combination with AVT or hydrins were used as challenge in the in vitro experiment. IP increased water permeability whereas PP inhibited it, and both events were well correlated with the translocation of the AQPs to the apical membrane. In the PP+AVT-treated skins, labels for AQP-h2 and AQP-h3 were differentially visible among the principal cells; the apical plasma membrane of some cells was labeled while others were not, indicating that the response of PP or AVT is different from cell to cell. These results provide morphological evidence that the principal cells of the FRC layers may have two kinds of receptors: a V2 receptor and β-adrenergic receptor.",10.1242/jeb.036871,['Process resources'],send_sound_signals,no_match,maintain_biodiversity,0.25,0.25,0.25,0,0,0
5,Revisiting synchronous gamete release by fucoid algae in the intertidal zone: fertilization success and beyond?,"In the marine environment, both external fertilization and settlement are critical processes linking adult and early juvenile life-history phases. The success of both processes can be tightly linked in organisms lacking a larval dispersive phase. This review focuses on synchronous gamete release (= spawning) in fucoid algae. These brown macroalgae are important components of temperate intertidal ecosystems in many parts of the world, and achieve synchronous gamete release by integrating various environmental signals. Photosynthesis-dependent sensing of boundary-layer inorganic carbon fluxes, as well as blue light and green light signals, possibly perceived via a chloroplast-located photoreceptor(s), are integrated into pathways that restrict gamete release to periods of low water motion. Avoidance of turbulent and/or high flow conditions in the intertidal zone allows high levels of fertilization success in this group. Temporal patterns and synchrony of spawning in natural populations are reviewed. Most species/populations have a more or less semilunar periodicity, although phase differences occur both between and within species at different geographical locations, raising the possibility that tidal and diurnal cues are more important than semilunar cues in entraining the response. The ecological and evolutionary role(s) of synchronous spawning in the intertidal zone are considered, particularly with regard to hybridization/reproductive isolation in species complexes, and reproductive versus recruitment assurance in the intertidal zone, where synchronous spawning during calm periods may be important for recruitment assurance in addition to fertilization success. Ways in which the roles of spawning synchrony could be tested in closely related species with contrasting mating systems (outcrossing versus selfing) are discussed.",10.1093/icb/icl030,"['Maintain ecological community', 'Sense send or process information']",send_sound_signals,no_match,maintain_biodiversity,0.25,0.25,0.25,0,0,0
6,Experimental Studies and Dynamics Modeling Analysis of the Swimming and Diving of Whirligig Beetles (Coleoptera: Gyrinidae),"Whirligig beetles (Coleoptera, Gyrinidae) can fly through the air, swiftly swim on the surface of water, and quickly dive across the air-water interface. The propulsive efficiency of the species is believed to be one of the highest measured for a thrust generating apparatus within the animal kingdom. The goals of this research were to understand the distinctive biological mechanisms that allow the beetles to swim and dive, while searching for potential bio-inspired robotics applications. Through static and dynamic measurements obtained using a combination of microscopy and high-speed imaging, parameters associated with the morphology and beating kinematics of the whirligig beetle's legs in swimming and diving were obtained. Using data obtained from these experiments, dynamics models of both swimming and diving were developed. Through analysis of simulations conducted using these models it was possible to determine several key principles associated with the swimming and diving processes. First, we determined that curved swimming trajectories were more energy efficient than linear trajectories, which explains why they are more often observed in nature. Second, we concluded that the hind legs were able to propel the beetle farther than the middle legs, and also that the hind legs were able to generate a larger angular velocity than the middle legs. However, analysis of circular swimming trajectories showed that the middle legs were important in maintaining stable trajectories, and thus were necessary for steering. Finally, we discovered that in order for the beetle to transition from swimming to diving, the legs must change the plane in which they beat, which provides the force required to alter the tilt angle of the body necessary to break the surface tension of water. We have further examined how the principles learned from this study may be applied to the design of bio-inspired swimming/diving robots.",10.1371/journal.pcbi.1002792,"['Change size or color', 'Move', 'Process resources']",send_sound_signals,no_match,maintain_biodiversity,0.25,0.25,0.25,0,0,0
7,Birch (Betula spp.) leaves adsorb and re-release volatiles specific to neighbouring plants--a mechanism for associational herbivore resistance?,"Plant-emitted semi-volatile compounds have low vaporization rates at 20-25 degrees C and may therefore persist on surfaces such as plant foliage. The passive adsorption of arthropod-repellent semi-volatiles to neighbouring foliage could convey associational resistance, whereby a plant's neighbours reduce damage caused by herbivores. We found that birch (Betula spp.) leaves adsorb and re-release the specific arthropod-repelling C(15) semi-volatiles ledene, ledol and palustrol produced by Rhododendron tomentosum when grown in mixed association in a field setup. In a natural habitat, a higher concentration of ledene was released from birches neighbouring R. tomentosum than from birches situated > 5 m from R. tomentosum. Emission of alpha-humulene, a sesquiterpene synthesized by both Betula pendula and R. tomentosum, was also increased in R. tomentosum-neighbouring B. pendula. In assessments for associational resistance, we found that the polyphagous green leaf weevils (Polydrusus flavipes) and autumnal moth (Epirrita autumnata) larvae both preferred B. pendula to R. tomentosum. P. flavipes also preferred birch leaves not exposed to R. tomentosum to leaves from mixed associations. In the field, a reduction in Euceraphis betulae aphid density occurred in mixed associations. Our results suggest that plant/tree species may be protected by semi-volatile compounds emitted by a more herbivore-resistant heterospecific neighbour.",10.1111/j.1469-8137.2010.03220.x,['Protect from harm'],send_sound_signals,no_match,maintain_biodiversity,0.25,0.25,0.25,0,0,0
8,The mechanics of the adhesive locomotion of terrestrial gastropods,"SUMMARY Research on the adhesive locomotion of terrestrial gastropods is gaining renewed interest as it provides a source of guidance for the design of soft biomimetic robots that can perform functions currently not achievable by conventional rigid vehicles. The locomotion of terrestrial gastropods is driven by a train of periodic muscle contractions (pedal waves) and relaxations (interwaves) that propagate from their tails to their heads. These ventral waves interact with a thin layer of mucus secreted by the animal that transmits propulsive forces to the ground. The exact mechanism by which these propulsive forces are generated is still a matter of controversy. Specifically, the exact role played by the complex rheological and adhesive properties of the mucus is not clear. To provide quantitative data that could shed light on this question, we use a newly developed technique to measure, with high temporal and spatial resolution, the propulsive forces that terrestrial gastropods generate while crawling on smooth flat surfaces. The traction force measurements demonstrate the importance of the finite yield stress of the mucus in generating thrust and are consistent with the surface of the ventral foot being lifted with the passage of each pedal wave. We also show that a forward propulsive force is generated beneath each stationary interwave and that this net forward component is balanced by the resistance caused by the outer rim of the ventral foot, which slides at the speed of the center of mass of the animal. Simultaneously, the animal pulls the rim laterally inward. Analysis of the traction forces reveals that the kinematics of the pedal waves is far more complex than previously thought, showing significant spatial variation (acceleration/deceleration) as the waves move from the tail to the head of the animal.",10.1242/jeb.046706,"['Attach', 'Move']",send_sound_signals,no_match,maintain_biodiversity,0.25,0.25,0.25,0,0,0
9,Induced niche shift as an anti-predator response for an endoparasitoid,"When two developmental stages do not share the same ecological niche, the control of the niche shift through a change in developmental timing, referred to as ‘heterokairy’, can provide an adaptive advantage for the individual (e.g. if mortality risk is higher in the first niche). For endoparasitic species that develop inside another (host) species, mortality of the host may directly induce mortality risk for the parasite. Thus, endoparasitoid larvae should be selected for response to host predation. In this study, aphids previously parasitized by the endoparasitoid Endaphis fugitiva, Gagné and Muratori (Diptera: Cecidomyiidae), were experimentally exposed to increased mortality risks. Both simulated attack and actual predator attacks against aphid hosts induced early emergence of the parasitoid larvae. Parasitoid emergence from the aphids occurred several minutes before the predator finished feeding on the aphid, allowing enough time for the parasitoid larvae to avoid direct predation. Predator-induced emergence produced significantly smaller parasitoid larvae than controls, but, interestingly, no effect on Endaphis adult size was found. To our knowledge, this is the first evidence of induced emergence in an insect parasitoid, but we suggest that this mechanism might be at work in many other species where plasticity in development time allows the individual to perform an adaptive niche shift.",10.1098/rspb.2009.2029,"['Protect from harm', 'Sense send or process information']",send_sound_signals,no_match,maintain_biodiversity,0.25,0.25,0.25,0,0,0
10,Transformation mechanism of amorphous calcium carbonate into calcite in the sea urchin larval spicule,"Sea urchin larval spicules transform amorphous calcium carbonate (ACC) into calcite single crystals. The mechanism of transformation is enigmatic: the transforming spicule displays both amorphous and crystalline properties, with no defined crystallization front. Here, we use X-ray photoelectron emission spectromicroscopy with probing size of 40–200 nm. We resolve 3 distinct mineral phases: An initial short-lived, presumably hydrated ACC phase, followed by an intermediate transient form of ACC, and finally the biogenic crystalline calcite phase. The amorphous and crystalline phases are juxtaposed, often appearing in adjacent sites at a scale of tens of nanometers. We propose that the amorphous-crystal transformation propagates in a tortuous path through preexisting 40- to 100-nm amorphous units, via a secondary nucleation mechanism.",10.1073/pnas.0806604105,['Chemically modify or Change energy state'],send_sound_signals,no_match,maintain_biodiversity,0.25,0.25,0.25,0,0,0
