function,function_enumerated
attach_permanently,0
attach_temporarily,1
passively_move_solids,2
passively_move_liquids,3
passively_move_gases,4
passively_move_granular_media,5
actively_move_solids,6
actively_move_liquids,7
actively_move_gases,8
actively_move_granular_media,9
protect_from_animals,10
protect_from_plants,11
protect_from_fungi,12
protect_from_microbes,13
protect_from_solids,14
protect_from_excess_liquids,15
protect_from_loss_liquids,16
protect_from_gases,17
protect_from_wind,18
protect_from_temperature,19
protect_from_fire,20
protect_from_ice,21
protect_from_light,22
protect_from_chemicals,23
protect_from_radiation,24
manage_impact,25
regulate_drag_turbulence,26
prevent_buckling,27
prevent_fracture_rupture,28
manage_shear,29
prevent_allow_deformation,30
prevent_fatigue,31
control_erosion,32
regulate_wear,33
change_material_properties,34
regulate_reproduction_growth,35
self-replicate,36
maintain_homeostasis_equillibrium,37
coordinate_self_organization,38
cooperate_within_between_species,39
compete_within_between_species,40
manage_environmental_disturbance_in_a_community,41
manage_populations_pests_diseases,42
maintain_biodiversity,43
chemically_assemble_inorganic_compounds,44
chemically_assemble_organic_compounds,45
self-assemble,46
chemically_break_down_inorganic_compounds,47
chemically_break_down_organic_compounds,48
modify_convert_electrical_energy,49
modify_convert_magnetic_energy,50
modify_convert_chemical_energy,51
modify_convert_mechanical_energy,52
modify_convert_thermal_energy,53
modify_convert_light_energy,54
physically_assemble_structure,55
break_down_structure,56
optimize_shape_materials,57
send_light_signals_in_the_visible_spectrum,58
send_light_signals_in_the_non-visible_spectrum,59
send_sound_signals,60
send_tactile_signals,61
send_chemical_signals,62
send_vibratory_signals,63
send_electrical_magnetic_signals,64
differentiate_signal_from_noise,65
convert_signals,66
respond_to_signals,67
sense_light_in_the_visible_spectrum,68
sense_light_in_the_non-visible_spectrum,69
sense_electricity_magnetism,70
sense_disease_in_a_living_system,71
sense_touch_and_mechanical_forces,72
sense_chemicals,73
sense_atmospheric_conditions,74
sense_sound_vibrations,75
sense_temperature_cues,76
sense_motion,77
sense_spatial_awareness_balance_orientation,78
sense_shape_pattern,79
capture_solids,80
capture_liquids,81
capture_gases,82
capture_energy,83
absorb_filter_solids,84
absorb_filter_liquids,85
absorb_filter_gases,86
store_solids,87
store_liquids,88
store_gases,89
store_energy,90
distribute_expel_solids,91
distribute_expel_liquids,92
distribute_expel_gases,93
distribute_expel_energy,94
detox_purify,95
change_structural_color,96
change_chemical_color_pigmentation,97
camouflage_mimicry,98
change_size_shape,99
