,title,abstract,doi,label,label-snorkel-1,label-snorkel-2,label-snorkel-3,probability-snorkel-1,probability-snorkel-2,probability-snorkel-3,model-index-snorkel-1,model-index-snorkel-2,model-index-snorkel-3
0,suctorial organ solifugae arachnida solifugae,ability members arachnid order solifugae climb smooth vertical surfaces organs involved behavior investigated macroscopic microscopic scanning electron observations palpal organ called suctorial microstructure past histological examination illustrates internal gross anatomy structure microscopy demonstrates fine adults four genera eremobates eremobatidae eremochelis eremorhax ammotrechula ammotrechidae unidentified late stage immature third instar likely primarily prey capture wild q 2005 elsevier ltd rights reserved,10.1016/J.ASD.2005.02.002,"['attach', 'move']",protect_from_temperature,no_match,attach_temporarily,0.16666666666666669,0.16666666666666669,0.16666666666666669,0,0,0
1,mound macrotermes michaelseni organ respiratory gas exchange,patterns rates air movements mounds nests macrotermes michaelseni studied tracer methods wind significant source energy powering nest ventilation despite mound completely enclosed structure ventilated tidal movement driven temporal variation speed direction density gradients sufficiently steep drive bulk flow natural convection rare metabolism induced buoyant forces may interact way promotes homeostasis atmosphere,10.1086/323990,['process_resources'],actively_move_gases,no_match,attach_temporarily,0.629722083828937,0.12733213278770059,0.12733213278770059,0,0,0
2,biology ecology ocean sunfish mola mola review current knowledge future research perspectives,relatively little biology ecology world largest heaviest bony fish ocean sunfish mola despite worldwide occurrence temperate tropical seas studies now emerging require common perceptions behaviour re examined indeed long held view inactive passively drifting species seems entirely misplaced technological advances marine telemetry revealing distinct behavioural patterns protracted seasonal movements extensive forays deep documented broad scale surveys together molecular laboratory techniques addressing connectivity trophic role animals movement local populations may prone depletion bycatch commercial fisheries rising interest highlighted increase publications warrants thorough review taxonomy morphology geography diet locomotion vision foraging reproduction interactions m summary current conservation issues methods fundamental gaps knowledge,10.1007/S11160-009-9155-9,['move'],protect_from_temperature,no_match,attach_temporarily,0.16666666666666669,0.16666666666666669,0.16666666666666669,0,0,0
3,lightweight biological structure tailored stiffness feather vane,flying feathers birds keratinous appendages designed maximum performance minimum weight penalty design contains ingenious combinations components optimize lift stiffness aerodynamics damage resistance involves two main parts central shaft prescribes lateral vanes allows capture air feather vane barbs branch barbules forming flat surface ensures microhooks end hold tightly together providing close knit unified structure enabling repair reattachment hooked junctions both lightweight biological structures constructed keratin common motif solid shell cellular interior core increases buckling little added analyze detailed barb first time explain flexural terms mechanics asymmetric foam filled beams subjected bending correlated validated finite element modeling compare flexure single arrays find interlocking adherence one another enables more robust minimized rotation deflection behavior tailored adhesive hooking creating system mitigates simplified three dimensional physical model mechanism additive manufacturing exceptional architecture motivate bioinspired unique properties ranging adhesives aerospace materials statement significance despite importance bird flight literature characterizing extremely limited composed rachis role barbule connections reinforcing quantitatively investigated experimentally theoretically performed experiments function relationships uncovered additionally sophisticated understand processes order engineer,10.1016/J.ACTBIO.2016.05.022,"['maintain_structural_integrity', 'move']",protect_from_fire,protect_from_radiation,no_match,0.94225177906675,0.16666666666666669,0.16666666666666669,0,0,0
4,capillarity based switchable adhesion,drawing inspiration adhesion abilities leaf beetle found nature engineered switchable device combines two concepts surface tension force large number small liquid bridges significant capillarity contacts quickly broken electronic control grabs releases substrate fraction second via low voltage pulse drives electroosmotic flow energy consumption minimal both grabbed released states stable equilibria persist added system notably maintains integrity array hundreds thousands distinct interfaces active reconfiguration droplets back despite natural tendency toward coalescence scaling strength inverse contact size suggests strengths approaching permanent bonding adhesives feature scaled down addition controllability fast efficient attachment time scale favorably features compact solid moving parts common materials,10.1073/PNAS.0914720107,['attach'],protect_from_fire,protect_from_radiation,regulate_reproduction_growth,0.94225177906675,0.18701027515625043,0.1627526229436861,0,0,0
5,evidence vertebrate catapult elastic energy storage plantaris tendon frog jumping,anuran jumping one powerful accelerations vertebrate locomotion several species hypothesized catapult mechanism store rapidly release elastic energy producing power outputs far beyond capability muscle evidence comes measurements whole body output decoupling joint motion shortening expected high speed marker biplanar x ray cinefluoroscopy quantify plantaris fascicle strain ankle frogs order test two hallmarks fascicles prior movement tendon stretch rapid jump without recoil jumps shortened average 7 8 per cent 54 total stretching subsequent period initial angular acceleration occurred minimal length change consistent data support longus site storage frog mechanisms may employed even sub maximal,10.1098/RSBL.2011.0982,"['move', 'process_resources']",protect_from_temperature,no_match,attach_temporarily,0.16666666666666669,0.16666666666666669,0.16666666666666669,0,0,0
6,biology reveals new ways hold tight,unusual meeting biologists materials scientists swapped notes natural artificial adhesives work physical chemical properties consider try figure nature performs sticky tricks organisms stay put bringing two disciplines together defense advanced research projects agency funded symposium hoped stimulate insights might one day lead more effective,10.1126/SCIENCE.296.5566.250,"['attach', 'move']",protect_from_fire,protect_from_temperature,actively_move_solids,0.94225177906675,0.034159469572727696,0.027238154334758572,0,0,0
7,function sawfish saw,summary jawed fishes possess elongated rostrum sense prey manipulate both billfish instance lacks sensory function stun 1 paddlefishes detect orient towards electric fields plankton 2 sturgeons search substrate electroreceptive engulf oral suction show juvenile freshwater sawfish pristis microdon active predators toothed saw simulating capture encountered water column attacked lateral swipes impale compare shovelnose rays share common ray ancestor 3 lack,10.1016/J.CUB.2012.01.055,"['physically_assemble/disassemble', 'sense_send_or_process_information']",protect_from_temperature,no_match,attach_temporarily,0.16666666666666669,0.16666666666666669,0.16666666666666669,0,0,0
8,raptorial jaws throat help moray eels swallow large prey,fish capture prey opening mouths sucking processing pharyngeal jaws second set derived gill skeleton lies deep throat moray eels though problem despite rapacious predators too long narrow conventional suction mechanisms work so instead food down project forward mouth cavity seize innovation may contributed success morays reef sounds rather spectacular worth watching movie http tinyurl com 2ybys3 ingesting remarkable bony fishes rely transport prey1 once captured carried water movement inside oral manipulate assist swallowing1 2 display less effective feeding abilities3 reduction mechanism widespread highly conserved aquatic vertebrates swallow large cephalopods4 5 6 7 show eel muraena retifera overcomes reduced capacity launching raptorial grasp struggling animal back oesophagus first case vertebrate both restrain alternative hydraulic teleost extreme mobility elongation muscles control jaws8 coupled adjacent arch structures9 discovery reach behind skull reveals major apex hunting complex matrix coral reefs10 11 mode mechanically similar ratcheting snakes12 13 group terrestrial share striking morphological behavioural14 ecological convergence,10.1038/NATURE06062,['process_resources'],protect_from_temperature,no_match,attach_temporarily,0.16666666666666669,0.16666666666666669,0.16666666666666669,0,0,0
9,entrapment bed bugs leaf trichomes inspires microfabrication biomimetic surfaces,resurgence bed bug infestations widespread pesticide resistance greatly renewed interest development more sustainable environmentally friendly methods manage bugs historically eastern europe entrapped leaves bean plants destroyed purely physical entrapment microscopic hooked hairs trichomes leaf surfaces scanning electron microscopy videography documented capture mechanism impaling feet tarsi distinct velcro piercing entanglement momentarily holds without sustained struggling trapped impaled several legs unable free themselves specific mechanically vulnerable locations pierced located effective heights orientations despite lack evolutionary association templates microfabricated indistinguishable geometry real polymers material properties similar plant cell walls synthetic snag temporarily hinder locomotion effectively,10.1098/RSIF.2013.0174,"['process_resources', 'protect_from_harm']",protect_from_temperature,no_match,attach_temporarily,0.16666666666666669,0.16666666666666669,0.16666666666666669,0,0,0
