,doi,url,full_doc_link,is_open_access,label_level_1,label_level_2,label_level_3,journal,literature_site,unnamed: 11,label,text
0,10.1242/jeb.00764,https://jeb.biologists.org/content/207/2/211,https://journals.biologists.com/jeb/article-pdf/207/2/211/1547720/211.pdf,True,"['Move', 'Process resources']","['Store resources', 'Active movement']","['Store energy', 'Actively move through/on solids']","['Journal of Experimental Biology (JEB)', 'American Zoologist', 'Archives of Physical Medicine and Rehabilitation', 'Collagen: Structure and Mechanics']",jeb.biologists.org,,-1,"Dynamics of leg muscle function in tammar wallabies (M. eugenii) during level versus incline hopping SUMMARY The goal of our study was to examine whether the in vivo force-length behavior, work and elastic energy savings of distal muscle-tendon units in the legs of tammar wallabies (Macropus eugenii) change during level versus incline hopping. To address this question, we obtained measurements of muscle activation (via electromyography), fascicle strain (via sonomicrometry) and muscle-tendon force (via tendon buckles) from the lateral gastrocnemius (LG) and plantaris (PL) muscles of tammar wallabies trained to hop on a level and an inclined (10°, 17.4% grade) treadmill at two speeds (3.3 m s-1 and 4.2 m s-1). Similar patterns of muscle activation, force and fascicle strain were observed under both level and incline conditions. This also corresponded to similar patterns of limb timing and movement (duty factor, limb contact time and hopping frequency). During both level and incline hopping, the LG and PL exhibited patterns of fascicle stretch and shortening that yielded low levels of net fascicle strain [LG: level, -1.0±4.6% (mean ± s.e.m.) vs incline, 0.6±4.5%; PL: level, 0.1±1.0% vs incline, 0.4±1.6%] and muscle work (LG: level, -8.4±8.4 J kg-1 muscle vs incline, -6.8±7.5 J kg-1 muscle; PL: level, -2.0±0.6 J kg-1 muscle vs incline, -1.4±0.7 J kg-1 muscle). Consequently, neither muscle significantly altered its contractile dynamics to do more work during incline hopping. Whereas electromyographic (EMG) phase, duration and intensity did not differ for the LG, the PL exhibited shorter but more intense periods of activation, together with reduced EMG phase (P<0.01), during incline versus level hopping. Our results indicate that design for spring-like tendon energy savings and economical muscle force generation is key for these two distal muscle-tendon units of the tammar wallaby, and the need to accommodate changes in work associated with level versus incline locomotion is achieved by more proximal muscles of the limb."
1,10.1038/srep00131,https://www.nature.com/articles/srep00131,https://www.nature.com/articles/srep00131.pdf,True,"['Change size or color', 'Physically assemble/disassemble', 'Protect from harm']","['Change size/shape', 'Optimize shape/materials', 'Protect from living threats']",['Protect from animals'],"[""Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior"", 'Journal of Experimental Biology (JEB)', 'Scientific Reports']",www.nature.com,,-1,"Hagfish predatory behaviour and slime defence mechanism Hagfishes (Myxinidae), a family of jawless marine pre-vertebrates, hold a unique evolutionary position, sharing a joint ancestor with the entire vertebrate lineage. They are thought to fulfil primarily the ecological niche of scavengers in the deep ocean. However, we present new footage from baited video cameras that captured images of hagfishes actively preying on other fish. Video images also revealed that hagfishes are able to choke their would-be predators with gill-clogging slime. This is the first time that predatory behaviour has been witnessed in this family, and also demonstrates the instantaneous effectiveness of hagfish slime to deter fish predators. These observations suggest that the functional adaptations and ecological role of hagfishes, past and present, might be far more diverse than previously assumed. We propose that the enduring success of this oldest extant family of fishes over 300 million years could largely be due to their unique combination of functional traits."
2,10.1098/rspb.2010.2203,https://royalsocietypublishing.org/doi/10.1098/rspb.2010.2203,https://royalsocietypublishing.org/doi/10.1098/rspb.2010.2203,True,['Sense send or process information'],['Send signals'],['Send light signals in the visible spectrum'],['Proceedings of the Royal Society B'],royalsocietypublishing.org,,-1,"Bioluminescent signals spatially amplified by wavelength-specific diffusion through the shell of a marine snail Some living organisms produce visible light (bioluminescence) for intra- or interspecific visual communication. Here, we describe a remarkable bioluminescent adaptation in the marine snail Hinea brasiliana. This species produces a luminous display in response to mechanical stimulation caused by encounters with other motile organisms. The light is produced from discrete areas on the snail's body beneath the snail's shell, and must thus overcome this structural barrier to be viewed by an external receiver. The diffusion and transmission efficiency of the shell is greater than a commercial diffuser reference material. Most strikingly, the shell, although opaque and pigmented, selectively diffuses the blue-green wavelength of the species bioluminescence. This diffusion generates a luminous display that is enlarged relative to the original light source. This unusual shell thus allows spatially amplified outward transmission of light communication signals from the snail, while allowing the animal to remain safely inside its hard protective shell."
3,10.1038/nature06101,https://www.nature.com/articles/nature06101,https://www.nature.com/articles/nature06101.pdf,True,['Sense send or process information'],['Sense signals/environmental cues'],['Sense chemicals'],['Nature'],www.nature.com,,-1,"The detection of carbonation by the Drosophila gustatory system There are five known taste modalities in humans: sweet, bitter, sour, salty and umami (the taste of monosodium glutamate). Although the fruitfly Drosophila melanogaster tastes sugars, salts and noxious chemicals, the nature and number of taste modalities in this organism is not clear. Previous studies have identified one taste cell population marked by the gustatory receptor gene Gr5a that detects sugars, and a second population marked by Gr66a that detects bitter compounds. Here we identify a novel taste modality in this insect: the taste of carbonated water. We use a combination of anatomical, calcium imaging and behavioural approaches to identify a population of taste neurons that detects CO2 and mediates taste acceptance behaviour. The taste of carbonation may allow Drosophila to detect and obtain nutrients from growing microorganisms. Whereas CO2 detection by the olfactory system mediates avoidance, CO2 detection by the gustatory system mediates acceptance behaviour, demonstrating that the context of CO2 determines appropriate behaviour. This work opens up the possibility that the taste of carbonation may also exist in other organisms."
4,10.1016/S0928-4931(99)00129-0,https://www.sciencedirect.com/science/article/abs/pii/S0928493199001290?via%3Dihub,https://www.sciencedirect.com/science/article/pii/S0928493199001290/pdfft,True,['Physically assemble/disassemble'],['Break down structure'],,"[""Comparative Biomechanics: Life's Physical World"", 'Zeitschrift für Zellforschung und Mikroskopische Anatomie', 'Materials Science and Engineering']",www.sciencedirect.com,,-1,"Radular teeth as models for the improvement of industrial cutting devices Limpets (Gastropoda) and chitons (Polyplacophora) feed on epi- and endolithic organisms by means of the radula, a specialized feeding apparatus located in the mouth cavity. The radula owes most of its abrasive capability to the presence of numerous mineralized teeth. Here we report on the shape, internal structure, wearing pattern, feeding position, and distribution of hardness and elastic properties of these teeth in an attempt to generate ideas for the innovation of industrial cutting devices. The teeth remain sharp during their entire working-life mainly due to the fact that wearing preferentially occurs along surfaces formed by the internal structure of the tooth. It is shown that shape, internal structure, positioning and material characteristics concertedly function in minimizing the rate at which the teeth wear down and in maintaining optimal cutting behaviour. Implementation of these self-sharpening characteristics into industrial cutting devices is discussed."
5,10.1098/rsbl.2010.1163,https://royalsocietypublishing.org/doi/10.1098/rsbl.2010.1163,https://royalsocietypublishing.org/doi/10.1098/rsbl.2010.1163,True,"['Sense send or process information', 'Change size or color']","['Send signals', 'Modify color']","['Send light signals in the visible spectrum', 'Change structural color']",['Biology Letters'],royalsocietypublishing.org,,-1,"Colour-producing β-keratin nanofibres in blue penguin (Eudyptula minor) feathers The colours of living organisms are produced by the differential absorption of light by pigments (e.g. carotenoids, melanins) and/or by the physical interactions of light with biological nanostructures, referred to as structural colours. Only two fundamental morphologies of non-iridescent nanostructures are known in feathers, and recent work has proposed that they self-assemble by intracellular phase separation processes. Here, we report a new biophotonic nanostructure in the non-iridescent blue feather barbs of blue penguins (Eudyptula minor) composed of parallel β-keratin nanofibres organized into densely packed bundles. Synchrotron small angle X-ray scattering and two-dimensional Fourier analysis of electron micrographs of the barb nanostructure revealed short-range order in the organization of fibres at the appropriate size scale needed to produce the observed colour by coherent scattering. These two-dimensional quasi-ordered penguin nanostructures are convergent with similar arrays of parallel collagen fibres in avian and mammalian skin, but constitute a novel morphology for feathers. The identification of a new class of β-keratin nanostructures adds significantly to the known mechanisms of colour production in birds and suggests additional complexity in their self-assembly."
6,10.1242/jeb.152.1.41,https://jeb.biologists.org/content/152/1/41,https://journals.biologists.com/jeb/article-pdf/152/1/41/1228756/41.pdf,True,"['Protect from harm', 'Sense send or process information']","['Protect from living threats', 'Process signals']","['Protect from animals', 'Respond to signals', 'Sense sound/vibrations']",['Journal of Experimental Biology (JEB)'],jeb.biologists.org,,-1,"Ultrasound-triggered, flight-gated evasive maneuvers in the praying mantis Parasphendale agrionina. II. Tethered flight In tethered flight, Parasphendale agrionina (Gerst.) males respond to ultrasonic stimuli with a unique suite of behaviors that includes full extension of the forelegs, strong dorsiflexion of the abdomen, a head roll, a 5% decrease in wingbeat frequency and a 33% increase in forewing excursion. Latency for the foreleg extension averages 66 ms while the latency to onset of yaw is 174 ms. The direction of the turn is unrelated to the location of the speaker. Yaw magnitude and latency are only weakly related to sound pressure level, and variability in these and other parameters is high. The behavior shows moderately sharp tuning to 40–60 kHz with a lowest mean threshold of 60 dB SPL. A male will not respond to ultrasound unless in flight, and the context-gating is independent of sensory input from the tarsi. Several components of the in-flight evasive behavior resemble defensive displays on the ground, and we suggest that this mantis has responded to predation pressure from bats with both flight-derived maneuvers and an aerial deimatic display."
7,10.1073/pnas.1106904108,https://www.pnas.org/content/108/34/E550,https://www.pnas.org/content/108/34/E550.full.pdf,True,"['Attach', 'Move']","['Attach temporarily', 'Active movement']",['Actively move through/on liquids'],['PNAS'],www.pnas.org,,-1,"High-speed microscopic imaging of flagella motility and swimming in Giardia lamblia trophozoites We report, in this paper, several findings about the swimming and attachment mechanisms of Giardia lamblia trophozoites. These data were collected using a combination of a high-contrast CytoViva imaging system and a particle image velocimetry camera, which can capture images at speeds greater than 800 frames/s. Using this system, we discovered that, during rapid swimming of Giardia trophozoites, undulations of the caudal region contributed to forward propulsion combined with the beating of the flagella pairs. It was also discovered, in contrast to previous studies with 10 times slower image sampling technique, that the anterior and posterolateral flagella beat with a clearly defined power stroke and not symmetrical undulations. During the transition from free swimming to attachment, trophozoites modified their swimming behavior from a rapid rotating motion to a more stable planar swimming. While using this planar swimming motion, the trophozoites used the flagella for propulsion and directional control. In addition to examination of the posterolateral and anterior flagella, a model to describe the motion of the ventral flagella was derived, indicating that the ventral flagella beat in an expanding sine wave. In addition, the structure of the ventrocaudal groove creates boundary conditions that determine the form of beating of the ventral flagella. The results from this study indicate that Giardia is able to simultaneously generate both ciliary beating and typical eukaryotic flagellar beating using different pairs of flagella."
8,10.1242/jeb.035618,https://jeb.biologists.org/content/213/7/1115,https://journals.biologists.com/jeb/article-pdf/213/7/1115/1273552/1115.pdf,True,"['Process resources', 'Attach']","['Capture resources', 'Attach temporarily']",['Capture solids'],['Journal of Experimental Biology (JEB)'],jeb.biologists.org,,-1,"Slippery surfaces of pitcher plants: Nepenthes wax crystals minimize insect attachment via microscopic surface roughness SUMMARY Pitcher plants of the genus Nepenthes efficiently trap and retain insect prey in highly specialized leaves. Besides a slippery peristome which inhibits adhesion of insects they employ epicuticular wax crystals on the inner walls of the conductive zone of the pitchers to hamper insect attachment by adhesive devices. It has been proposed that the detachment of individual crystals and the resulting contamination of adhesive organs is responsible for capturing insects. However, our results provide evidence in favour of a different mechanism, mainly based on the stability and the roughness of the waxy surface. First, we were unable to detect a large quantity of crystal fragments on the pads of insects detached from mature pitcher surfaces of Nepenthes alata. Second, investigation of the pitcher surface by focused ion beam treatment showed that the wax crystals form a compact 3D structure. Third, atomic force microscopy of the platelet-shaped crystals revealed that the crystals are mechanically stable, rendering crystal detachment by insect pads unlikely. Fourth, the surface profile parameters of the wax layer showed striking similarities to those of polishing paper with low grain size. By measuring friction forces of insects on this artificial surface we demonstrate that microscopic roughness alone is sufficient to minimize insect attachment. A theoretical model shows that surface roughness within a certain length scale will prevent adhesion by being too rough for adhesive pads but not rough enough for claws."
9,10.1098/rsif.2011.0059,https://royalsocietypublishing.org/doi/10.1098/rsif.2011.0059,https://royalsocietypublishing.org/doi/10.1098/rsif.2011.0059,True,"['Maintain ecological community', 'Sense send or process information']","['Group benefit', 'Process signals']","['Coordinate by self-organization', 'Respond to signals']",['Journal of the Royal Society Interface'],royalsocietypublishing.org,,-1,"The effect of individual variation on the structure and function of interaction networks in harvester ants Social insects exhibit coordinated behaviour without central control. Local interactions among individuals determine their behaviour and regulate the activity of the colony. Harvester ants are recruited for outside work, using networks of brief antennal contacts, in the nest chamber closest to the nest exit: the entrance chamber. Here, we combine empirical observations, image analysis and computer simulations to investigate the structure and function of the interaction network in the entrance chamber. Ant interactions were distributed heterogeneously in the chamber, with an interaction hot-spot at the entrance leading further into the nest. The distribution of the total interactions per ant followed a right-skewed distribution, indicating the presence of highly connected individuals. Numbers of ant encounters observed positively correlated with the duration of observation. Individuals varied in interaction frequency, even after accounting for the duration of observation. An ant's interaction frequency was explained by its path shape and location within the entrance chamber. Computer simulations demonstrate that variation among individuals in connectivity accelerates information flow to an extent equivalent to an increase in the total number of interactions. Individual variation in connectivity, arising from variation among ants in location and spatial behaviour, creates interaction centres, which may expedite information flow."
